gene_symbol,Orc2
mouse_strain,C57BL
parameter_name,Lean mass
mouse_life_stage,E9.5
gene_accession_id,MGI:1328306
parameter_id,IMPC_DXA_003_001
pvalue,0.494058
analysis_id,175dzd4j7xa818s
