parameter_id,IMPC_DXA_008_001
pvalue,0.1022774
mouse_strain,129SV
gene_accession_id,MGI:104848
mouse_life_stage,Early adult
analysis_id,f04l2ok4yc9c26f
parameter_name,Lean/Body weight
gene_symbol,Inpp1
