parameter_name,Response amplitude - S
gene_accession_id,MGI:1931749
parameter_id,IMPC_ACS_006_001
gene_symbol,Pum1
pvalue,0.9197246
analysis_id,2m9w112mvstc485
mouse_life_stage,Early adult
mouse_strain,C57BL
