parameter_name,Spleen weight
mouse_life_stage,Early adult
analysis_id,a8q531qe301dk3j
parameter_id,UCD_OWT_003_001
gene_accession_id,MGI:1913405
pvalue,0.8146545
gene_symbol,Ufc1
mouse_strain,C57BL
