analysis_id,71b08d01e720yjd
gene_accession_id,MGI:88461
parameter_name,Eye
mouse_strain,C57BL
gene_symbol,Col6a3
mouse_life_stage,Early adult
pvalue,0.2566668
parameter_id,M-G-P_014_001_001
