analysis_id,d83w5xk4e3td7r3
parameter_id,IMPC_HEM_002_001
mouse_strain,C57BL
gene_accession_id,MGI:3026886
pvalue,0.7788637
gene_symbol,Cdin1
mouse_life_stage,E9.5
parameter_name,Red blood cell count
