parameter_id,IMPC_GPP_004_001
gene_accession_id,MGI:2448481
mouse_life_stage,Early adult
pvalue,0.1353955
mouse_strain,C57BL
parameter_name,Placenta Size
analysis_id,lch15ku82kk871a
gene_symbol,Mgst2
