analysis_id,vc5a8o161dio9q1
mouse_life_stage,Early adult
parameter_name,IgD+ mature B cell percentage
gene_symbol,Golm2
mouse_strain,C57BL
pvalue,0.2196625
parameter_id,MGP_PBI_015_001
gene_accession_id,MGI:2443129
