parameter_name,Total protein
mouse_strain,C57BL
analysis_id,ij74lg2443zt4ei
parameter_id,IMPC_CBC_006_001
pvalue,0.4612324
gene_symbol,Rab22a
mouse_life_stage,Early adult
gene_accession_id,MGI:105072
