gene_symbol,Col6a3
analysis_id,ocyxf7723cn1112
parameter_id,MGP_PBI_014_001
mouse_life_stage,Early adult
gene_accession_id,MGI:88461
parameter_name,B cell percentage
mouse_strain,C57BL
pvalue,0.8971278
