gene_symbol,Plcb1
mouse_life_stage,Late adult
analysis_id,2p7bqd34sea2cve
mouse_strain,C57BL
gene_accession_id,MGI:97613
parameter_id,IMPC_IMM_004_001
pvalue,0.699282
parameter_name,NKT cells (panel A)
