gene_symbol,Orc2
mouse_life_stage,E9.5
mouse_strain,C57BL
analysis_id,3n33668cj5j0y1o
pvalue,0.6590261
parameter_name,Center permanence time
gene_accession_id,MGI:1328306
parameter_id,IMPC_OFD_016_001
