analysis_id,e0iqo5kq01z4015
mouse_life_stage,E9.5
mouse_strain,C57BL
parameter_name,Cornea vascularisation
gene_symbol,Orc2
parameter_id,ESLIM_014_001_008
pvalue,0.7126851
gene_accession_id,MGI:1328306
