gene_symbol,Tubb4b
pvalue,0.3951742
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,ESLIM_011_001_006
parameter_name,110dB startle magnitude
gene_accession_id,MGI:1915472
analysis_id,ww360cyo0n72aan
