gene_symbol,Atg4c
mouse_life_stage,Early adult
gene_accession_id,MGI:2651854
analysis_id,n9b83yl351u517n
mouse_strain,C57BL
parameter_name,Effector CD4+ T helper cells - % of CD45+
pvalue,0.4087585
parameter_id,MGP_IMM_073_001
