gene_symbol,Trpa1
mouse_life_stage,Early adult
analysis_id,t099n6128wtpdw7
mouse_strain,C57BL
gene_accession_id,MGI:3522699
parameter_name,DN CD25- NKT cells
pvalue,0.9267197
parameter_id,IMPC_IMM_025_001
