parameter_name,Percentage center time
mouse_strain,C57BL
parameter_id,IMPC_OFD_022_001
gene_accession_id,MGI:2442483
analysis_id,mb0y322twr9wwc5
mouse_life_stage,Early adult
pvalue,0.8762191
gene_symbol,Usp37
