parameter_name,Prepulse inhibition - PP4
analysis_id,rf7fr72bu7n042f
gene_symbol,Cdin1
pvalue,0.9357369
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:3026886
parameter_id,ESLIM_011_001_704
