parameter_name,Anophthalmia
parameter_id,IMPC_GEO_048_002
analysis_id,jnt06wpdj002dq3
gene_accession_id,MGI:1915087
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Tiprl
pvalue,0.08008673
