mouse_life_stage,Middle aged adult
mouse_strain,C57BL
parameter_id,IMPC_CSD_036_001
gene_accession_id,MGI:109356
parameter_name,Startle response
pvalue,0.232744
gene_symbol,Snap23
analysis_id,c720350b0s96g8r
