gene_symbol,Ap5s1
analysis_id,d13pz04xut7pri6
parameter_name,KLRG1+ NK cells - % of NK cells
gene_accession_id,MGI:1916846
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_IMM_036_001
pvalue,0.8976067
