analysis_id,im3lk5x69amka87
mouse_strain,C57BL
gene_accession_id,MGI:1888742
gene_symbol,Extl1
mouse_life_stage,Early adult
pvalue,0.05766789
parameter_name,CD4+ KLRG1+ alpha beta T cell number
parameter_id,MGP_PBI_032_001
