analysis_id,02d74yzu9o49v8d
mouse_life_stage,Early adult
gene_accession_id,MGI:1914561
parameter_name,6kHz-evoked ABR Threshold
parameter_id,IMPC_ABR_004_001
mouse_strain,C57BL
gene_symbol,Nanp
pvalue,0.6134062
