parameter_id,HRWLLA_OFD_020_001
parameter_name,Distance travelled - total
gene_accession_id,MGI:1934811
analysis_id,132p7slp0598jy7
mouse_life_stage,Late adult
mouse_strain,C57BL
gene_symbol,Nucks1
pvalue,0.4107161
