analysis_id,c9r5b9xh429q6z1
pvalue,0.2831186
parameter_id,IMPC_FEA_003_001
gene_accession_id,MGI:3522699
mouse_life_stage,Early adult
gene_symbol,Trpa1
mouse_strain,C57BL
parameter_name,Conditioning Baseline % Freezing Time
