analysis_id,81y2559cbgx7m48
gene_symbol,Dhdds
pvalue,0.9837987
mouse_life_stage,Early adult
gene_accession_id,MGI:1914672
mouse_strain,C57BL
parameter_id,IMPC_HEM_019_001
parameter_name,Mean platelet volume
