analysis_id,fn5ar6f1897nvf6
gene_accession_id,MGI:1922745
pvalue,0.2861886
parameter_name,PP3 + pulse startle magnitude
mouse_strain,C57BL
parameter_id,ESLIM_011_001_009
gene_symbol,Morn5
mouse_life_stage,Early adult
