gene_symbol,Sass6
analysis_id,x8vus0u285i6dyu
mouse_strain,C57BL
gene_accession_id,MGI:1920026
mouse_life_stage,E12.5
parameter_id,JAX_LDT_003_001
pvalue,0.6403432
parameter_name,Time mobile light side
