analysis_id,g3nxilp16801t66
parameter_name,Total protein
gene_accession_id,MGI:1336200
mouse_life_stage,Middle aged adult
gene_symbol,Hpca
pvalue,0.2737972
mouse_strain,C57BL
parameter_id,IMPC_CBC_006_001
