gene_symbol,Hrnr
gene_accession_id,MGI:3046938
parameter_name,Bone Area
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_DXA_010_001
pvalue,0.5247358
analysis_id,4qerw260qn815i1
