Analysis_id,zt7fp3o6w8bq43m
gene_accession_id,MGI:95835
Mouse_strain,C57BL
pvalue,0.6587241
Gene_symbol,Hspa5
mouse_life_stage,E9.5
Parameter_name,Mean left eye lens density
Parameter_id,IMPC_EYE_056_001
