analysis_id,0i734hos55sj10k
parameter_name,Retinal Blood Vessels Pattern
pvalue,0.7292979
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Rgs20
parameter_id,IMPC_EYE_026_001
gene_accession_id,MGI:1929866
