analysis_id,yk84por05f6f43s
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:3026886
parameter_name,Distance travelled - total
gene_symbol,Cdin1
pvalue,0.2867821
parameter_id,JAX_OFD_020_001
