analysis_id,q6wgvqb0vh35550
parameter_id,JAX_OFD_015_001
parameter_name,Center resting time
mouse_strain,C57BL
gene_symbol,Dmap1
gene_accession_id,MGI:1913483
mouse_life_stage,Early adult
pvalue,0.1955343
