gene_symbol,Dnajc6
mouse_strain,C57BL
gene_accession_id,MGI:1919935
analysis_id,f695r976a9fffp6
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_004_001
parameter_name,Eyelid morphology
pvalue,0.1169336
