parameter_name,Lower teeth appearance
mouse_life_stage,E18.5
analysis_id,1gslxoq2r7hjw6j
mouse_strain,C57BL
pvalue,0.9955769
gene_symbol,Ola1
gene_accession_id,MGI:1914309
parameter_id,IMPC_CSD_070_001
