analysis_id,eave594z51s7zsq
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_031_001
mouse_strain,C57BL
pvalue,0.6221418
parameter_name,Lymphocyte differential count
gene_symbol,Ap5s1
gene_accession_id,MGI:1916846
