analysis_id,13p53w90b3rq24w
mouse_life_stage,Early adult
gene_symbol,Ppm1j
mouse_strain,C57BL
gene_accession_id,MGI:1919137
parameter_name,Bone Mineral Content
parameter_id,ESLIM_005_001_005
pvalue,0.7268037
