parameter_id,HMGULA_DYS_024_001
analysis_id,08v65399s8v9q12
parameter_name,Vibrissae - appearance
mouse_strain,C57BL
gene_accession_id,MGI:109585
pvalue,0.1988591
gene_symbol,Pld1
mouse_life_stage,Early adult
