analysis_id,9n96b988f7s4x35
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_030_001
mouse_strain,C57BL
parameter_name,Neutrophil cell count
pvalue,0.7877651
gene_symbol,Bmp7
gene_accession_id,MGI:103302
