parameter_name,Percentage center time
mouse_strain,C57BL
mouse_life_stage,E12.5
analysis_id,anm80f97tri2fxs
pvalue,0.8794239
gene_symbol,Bmi1
gene_accession_id,MGI:88174
parameter_id,IMPC_OFD_022_001
