analysis_id,8pb681t7e4riqf6
gene_symbol,AU040320
parameter_id,HMGULA_CBC_003_001
parameter_name,Chloride
pvalue,0.973305
mouse_life_stage,Late adult
mouse_strain,C57BL
gene_accession_id,MGI:2140475
