gene_symbol,Golm2
parameter_name,KLRG1+ gd T cells - % of gd T cells
mouse_life_stage,Early adult
gene_accession_id,MGI:2443129
pvalue,0.09518872
mouse_strain,C57BL
parameter_id,MGP_IMM_022_001
analysis_id,6a6356x02393963
