analysis_id,i2y2hn00gw0tfr1
mouse_life_stage,Early adult
gene_accession_id,MGI:1925049
pvalue,0.5762389
mouse_strain,C57BL
parameter_name,Resting CD8+ T cells - % of CD8+
gene_symbol,Sla2
parameter_id,MGP_IMM_015_001
