parameter_name,Mean-corpuscular-haemoglobin
mouse_life_stage,Early adult
analysis_id,m3851n8vwn02eul
mouse_strain,C3H
gene_symbol,Mecom
pvalue,0.9732536
parameter_id,M-G-P_016_001_006
gene_accession_id,MGI:95457
