analysis_id,2cq9a007re8n14u
mouse_life_stage,Early adult
parameter_name,Total CD4+ T cells - % of CD45+
mouse_strain,C57BL
pvalue,0.5115024
gene_symbol,F2
gene_accession_id,MGI:88380
parameter_id,MGP_IMM_071_001
