gene_symbol,Mms22l
gene_accession_id,MGI:2684980
parameter_id,MGP_PBI_004_001
parameter_name,CD8+ alpha beta T cell percentage
pvalue,0.2516695
analysis_id,aknsz35qe2m0uae
mouse_life_stage,Early adult
mouse_strain,129SV
