analysis_id,h39333dpc1m77ym
mouse_life_stage,Early adult
parameter_id,MGP_IMM_020_001
gene_symbol,Dnajc8
mouse_strain,C57BL
parameter_name,Effector gd T cells - % of gd T cells
gene_accession_id,MGI:1915848
pvalue,0.3189454
