parameter_id,IMPC_GEP_022_001
mouse_life_stage,E15.5
pvalue,0.2408173
gene_symbol,Fgb
mouse_strain,C57BL
gene_accession_id,MGI:99501
analysis_id,a90h49b009i02dj
parameter_name,Embryo Size
