parameter_id,HMGULA_CBC_005_001
gene_accession_id,MGI:95457
pvalue,0.5144436
mouse_strain,C57BL
parameter_name,Creatinine
gene_symbol,Mecom
analysis_id,16o116jrvs38r9q
mouse_life_stage,E12.5
