parameter_name,CD8 CD44-CD62L+ T cells
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,ncdmyb10vyj727e
gene_symbol,Cpa3
gene_accession_id,MGI:88479
parameter_id,IMPC_IMM_034_001
pvalue,0.8850866
