parameter_name,Skull shape
mouse_strain,C57BL
pvalue,0.4644133
mouse_life_stage,Early adult
analysis_id,6uge5636by0i165
gene_accession_id,MGI:1917604
gene_symbol,Secisbp2l
parameter_id,CCP_XRY_001_001
