parameter_name,Retinal Blood Vessels
gene_symbol,Duoxa2
parameter_id,IMPC_EYE_024_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1914061
pvalue,0.8970154
analysis_id,1x8c964806f9wa4
