parameter_id,MGP_PBI_012_001
analysis_id,15136140mrah020
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1916220
gene_symbol,Dcaf12
parameter_name,CD4+ KLRG1+ alpha beta T cell percentage
pvalue,0.3864984
