gene_symbol,Lamb3
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Body position
parameter_id,ESLIM_008_001_001
analysis_id,w2qyly4g369it04
gene_accession_id,MGI:99915
pvalue,0.6805904
