analysis_id,5ykzx8j561881wj
mouse_strain,C57BL
pvalue,0.3026853
gene_symbol,Lime1
gene_accession_id,MGI:1919949
mouse_life_stage,Early adult
parameter_id,MGP_MLN_064_001
parameter_name,Total CD4+ T cells - % of CD45+
