gene_symbol,Duoxa2
parameter_name,Mean corpuscular hemoglobin
pvalue,0
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_006_001
analysis_id,3j8re3n3507s8y2
gene_accession_id,MGI:1914061
mouse_strain,C57BL
