parameter_name,Limb grasping
gene_symbol,Ola1
parameter_id,ESLIM_008_001_017
pvalue,0.257669
mouse_strain,C57BL
analysis_id,67or3j0iq537u1v
mouse_life_stage,E18.5
gene_accession_id,MGI:1914309
