parameter_id,IMPC_CBC_001_001
gene_symbol,Cd52
mouse_strain,C57BL
analysis_id,xluaq6syjzw2039
gene_accession_id,MGI:1346088
mouse_life_stage,Early adult
pvalue,0.3196189
parameter_name,Sodium
