analysis_id,xp5z26q79459p04
parameter_id,MGP_IMM_022_001
gene_accession_id,MGI:2444554
parameter_name,KLRG1+ gd T cells - % of gd T cells
mouse_life_stage,E12.5
gene_symbol,Mapkap1
pvalue,0.5235825
mouse_strain,C57BL
