gene_symbol,Sdcbp2
parameter_name,Red blood cell count
gene_accession_id,MGI:2385156
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.3208517
analysis_id,032wrrbp2r50yqk
parameter_id,IMPC_HEM_002_001
