pvalue,0.08694652
analysis_id,0m3y9114142uar1
gene_symbol,Atrn
gene_accession_id,MGI:1341628
parameter_id,JAX_OFD_021_001
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Number of rears - total
