gene_symbol,Snap23
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:109356
parameter_id,MGP_IMM_014_001
pvalue,0.552016
analysis_id,92s540km4b02b9o
parameter_name,Effector CD8+ T cells - % of CD8+
mouse_strain,C57BL
