analysis_id,7sfwmr250669ha6
gene_accession_id,MGI:99605
parameter_id,IMPC_GEL_063_001
mouse_life_stage,Early adult
pvalue,0.8165035
gene_symbol,Cntfr
parameter_name,Delayed embryonic development
mouse_strain,129SV
